Temperature	Pressure	Property	Source	Model
18.793327	-101.300000	     Ktmin	     TSEOS	 TIP4P2005
21.356974	-101.000000	     Ktmin	     TSEOS	 TIP4P2005
22.463104	-100.500000	     Ktmin	     TSEOS	 TIP4P2005
25.410585	-100.000000	     Ktmin	     TSEOS	 TIP4P2005
26.336919	-99.000000	     Ktmin	     TSEOS	 TIP4P2005
27.233411	-98.000000	     Ktmin	     TSEOS	 TIP4P2005
28.102955	-97.000000	     Ktmin	     TSEOS	 TIP4P2005
28.948166	-96.000000	     Ktmin	     TSEOS	 TIP4P2005
29.771324	-95.000000	     Ktmin	     TSEOS	 TIP4P2005
30.574450	-94.000000	     Ktmin	     TSEOS	 TIP4P2005
31.359327	-93.000000	     Ktmin	     TSEOS	 TIP4P2005
32.127556	-92.000000	     Ktmin	     TSEOS	 TIP4P2005
32.880544	-91.000000	     Ktmin	     TSEOS	 TIP4P2005
33.619564	-90.000000	     Ktmin	     TSEOS	 TIP4P2005
34.345759	-89.000000	     Ktmin	     TSEOS	 TIP4P2005
35.060147	-88.000000	     Ktmin	     TSEOS	 TIP4P2005
35.763649	-87.000000	     Ktmin	     TSEOS	 TIP4P2005
36.457100	-86.000000	     Ktmin	     TSEOS	 TIP4P2005
37.141253	-85.000000	     Ktmin	     TSEOS	 TIP4P2005
37.816674	-84.000000	     Ktmin	     TSEOS	 TIP4P2005
38.481986	-83.000000	     Ktmin	     TSEOS	 TIP4P2005
39.137394	-82.000000	     Ktmin	     TSEOS	 TIP4P2005
39.783816	-81.000000	     Ktmin	     TSEOS	 TIP4P2005
40.422051	-80.000000	     Ktmin	     TSEOS	 TIP4P2005
41.052798	-79.000000	     Ktmin	     TSEOS	 TIP4P2005
41.676675	-78.000000	     Ktmin	     TSEOS	 TIP4P2005
42.294220	-77.000000	     Ktmin	     TSEOS	 TIP4P2005
42.905934	-76.000000	     Ktmin	     TSEOS	 TIP4P2005
43.512226	-75.000000	     Ktmin	     TSEOS	 TIP4P2005
