Temperature	Pressure	Property	Source	Model
0.000000	1.000000	     Widom	     TSEOS	 TIP4P2005
-0.000001	0.982005	     Widom	     TSEOS	 TIP4P2005
-0.000002	0.963874	     Widom	     TSEOS	 TIP4P2005
-0.000005	0.945607	     Widom	     TSEOS	 TIP4P2005
-0.000009	0.927204	     Widom	     TSEOS	 TIP4P2005
-0.000014	0.908665	     Widom	     TSEOS	 TIP4P2005
-0.000020	0.889989	     Widom	     TSEOS	 TIP4P2005
-0.000027	0.871179	     Widom	     TSEOS	 TIP4P2005
-0.000035	0.852232	     Widom	     TSEOS	 TIP4P2005
-0.000045	0.833151	     Widom	     TSEOS	 TIP4P2005
-0.000055	0.813934	     Widom	     TSEOS	 TIP4P2005
-0.000067	0.794582	     Widom	     TSEOS	 TIP4P2005
-0.000079	0.775094	     Widom	     TSEOS	 TIP4P2005
-0.000093	0.755472	     Widom	     TSEOS	 TIP4P2005
-0.000108	0.735714	     Widom	     TSEOS	 TIP4P2005
-0.000124	0.715822	     Widom	     TSEOS	 TIP4P2005
-0.000141	0.695794	     Widom	     TSEOS	 TIP4P2005
-0.000159	0.675632	     Widom	     TSEOS	 TIP4P2005
-0.000179	0.655335	     Widom	     TSEOS	 TIP4P2005
-0.000199	0.634903	     Widom	     TSEOS	 TIP4P2005
-0.000221	0.614335	     Widom	     TSEOS	 TIP4P2005
-0.000244	0.593633	     Widom	     TSEOS	 TIP4P2005
-0.000267	0.572796	     Widom	     TSEOS	 TIP4P2005
-0.000293	0.551824	     Widom	     TSEOS	 TIP4P2005
-0.000319	0.530716	     Widom	     TSEOS	 TIP4P2005
-0.000346	0.509473	     Widom	     TSEOS	 TIP4P2005
-0.000375	0.488095	     Widom	     TSEOS	 TIP4P2005
-0.000404	0.466582	     Widom	     TSEOS	 TIP4P2005
-0.000435	0.444933	     Widom	     TSEOS	 TIP4P2005
-0.000467	0.423148	     Widom	     TSEOS	 TIP4P2005
-0.000501	0.401227	     Widom	     TSEOS	 TIP4P2005
-0.000535	0.379171	     Widom	     TSEOS	 TIP4P2005
-0.000571	0.356978	     Widom	     TSEOS	 TIP4P2005
-0.000608	0.334649	     Widom	     TSEOS	 TIP4P2005
-0.000646	0.312183	     Widom	     TSEOS	 TIP4P2005
-0.000685	0.289581	     Widom	     TSEOS	 TIP4P2005
-0.000726	0.266842	     Widom	     TSEOS	 TIP4P2005
-0.000768	0.243965	     Widom	     TSEOS	 TIP4P2005
-0.000811	0.220952	     Widom	     TSEOS	 TIP4P2005
-0.000855	0.197800	     Widom	     TSEOS	 TIP4P2005
-0.000901	0.174511	     Widom	     TSEOS	 TIP4P2005
-0.000947	0.151083	     Widom	     TSEOS	 TIP4P2005
-0.000996	0.127517	     Widom	     TSEOS	 TIP4P2005
-0.001045	0.103812	     Widom	     TSEOS	 TIP4P2005
-0.001096	0.079968	     Widom	     TSEOS	 TIP4P2005
-0.001148	0.055984	     Widom	     TSEOS	 TIP4P2005
-0.001202	0.031861	     Widom	     TSEOS	 TIP4P2005
-0.001256	0.007597	     Widom	     TSEOS	 TIP4P2005
-0.001313	-0.016807	     Widom	     TSEOS	 TIP4P2005
-0.001370	-0.041352	     Widom	     TSEOS	 TIP4P2005
-0.001429	-0.066039	     Widom	     TSEOS	 TIP4P2005
-0.001490	-0.090867	     Widom	     TSEOS	 TIP4P2005
-0.001551	-0.115838	     Widom	     TSEOS	 TIP4P2005
-0.001614	-0.140951	     Widom	     TSEOS	 TIP4P2005
-0.001679	-0.166208	     Widom	     TSEOS	 TIP4P2005
-0.001745	-0.191608	     Widom	     TSEOS	 TIP4P2005
-0.001813	-0.217153	     Widom	     TSEOS	 TIP4P2005
-0.001882	-0.242842	     Widom	     TSEOS	 TIP4P2005
-0.001952	-0.268676	     Widom	     TSEOS	 TIP4P2005
-0.002024	-0.294656	     Widom	     TSEOS	 TIP4P2005
-0.002098	-0.320783	     Widom	     TSEOS	 TIP4P2005
-0.002173	-0.347056	     Widom	     TSEOS	 TIP4P2005
-0.002249	-0.373477	     Widom	     TSEOS	 TIP4P2005
-0.002328	-0.400046	     Widom	     TSEOS	 TIP4P2005
-0.002407	-0.426764	     Widom	     TSEOS	 TIP4P2005
-0.002489	-0.453632	     Widom	     TSEOS	 TIP4P2005
-0.002572	-0.480649	     Widom	     TSEOS	 TIP4P2005
-0.002657	-0.507818	     Widom	     TSEOS	 TIP4P2005
-0.002743	-0.535138	     Widom	     TSEOS	 TIP4P2005
-0.002831	-0.562610	     Widom	     TSEOS	 TIP4P2005
-0.002921	-0.590235	     Widom	     TSEOS	 TIP4P2005
-0.003012	-0.618015	     Widom	     TSEOS	 TIP4P2005
-0.003105	-0.645948	     Widom	     TSEOS	 TIP4P2005
-0.003200	-0.674038	     Widom	     TSEOS	 TIP4P2005
-0.003297	-0.702284	     Widom	     TSEOS	 TIP4P2005
-0.003395	-0.730687	     Widom	     TSEOS	 TIP4P2005
-0.003496	-0.759248	     Widom	     TSEOS	 TIP4P2005
-0.003598	-0.787968	     Widom	     TSEOS	 TIP4P2005
-0.003702	-0.816848	     Widom	     TSEOS	 TIP4P2005
-0.003808	-0.845889	     Widom	     TSEOS	 TIP4P2005
-0.003916	-0.875092	     Widom	     TSEOS	 TIP4P2005
-0.004025	-0.904459	     Widom	     TSEOS	 TIP4P2005
-0.004137	-0.933989	     Widom	     TSEOS	 TIP4P2005
-0.004251	-0.963684	     Widom	     TSEOS	 TIP4P2005
-0.004367	-0.993545	     Widom	     TSEOS	 TIP4P2005
-0.004485	-1.023574	     Widom	     TSEOS	 TIP4P2005
-0.004605	-1.053772	     Widom	     TSEOS	 TIP4P2005
-0.004727	-1.084139	     Widom	     TSEOS	 TIP4P2005
-0.004851	-1.114677	     Widom	     TSEOS	 TIP4P2005
-0.004977	-1.145387	     Widom	     TSEOS	 TIP4P2005
-0.005106	-1.176271	     Widom	     TSEOS	 TIP4P2005
-0.005236	-1.207330	     Widom	     TSEOS	 TIP4P2005
-0.005369	-1.238565	     Widom	     TSEOS	 TIP4P2005
-0.005505	-1.269977	     Widom	     TSEOS	 TIP4P2005
-0.005642	-1.301569	     Widom	     TSEOS	 TIP4P2005
-0.005783	-1.333341	     Widom	     TSEOS	 TIP4P2005
-0.005925	-1.365296	     Widom	     TSEOS	 TIP4P2005
-0.006070	-1.397434	     Widom	     TSEOS	 TIP4P2005
-0.006217	-1.429757	     Widom	     TSEOS	 TIP4P2005
-0.006367	-1.462268	     Widom	     TSEOS	 TIP4P2005
-0.006520	-1.494967	     Widom	     TSEOS	 TIP4P2005
-0.006675	-1.527856	     Widom	     TSEOS	 TIP4P2005
-0.006832	-1.560938	     Widom	     TSEOS	 TIP4P2005
-16.011553	-1.176471	      Tmin	     TSEOS	 TIP4P2005
-17.955967	-1.170588	      Tmin	     TSEOS	 TIP4P2005
-20.338299	-1.164706	      Tmin	     TSEOS	 TIP4P2005
-21.823210	-1.158824	      Tmin	     TSEOS	 TIP4P2005
-22.989792	-1.152941	      Tmin	     TSEOS	 TIP4P2005
-23.976917	-1.147059	      Tmin	     TSEOS	 TIP4P2005
-24.844593	-1.141176	      Tmin	     TSEOS	 TIP4P2005
-25.625287	-1.135294	      Tmin	     TSEOS	 TIP4P2005
-26.338895	-1.129412	      Tmin	     TSEOS	 TIP4P2005
-26.998675	-1.123529	      Tmin	     TSEOS	 TIP4P2005
-27.613979	-1.117647	      Tmin	     TSEOS	 TIP4P2005
-28.191695	-1.111765	      Tmin	     TSEOS	 TIP4P2005
-28.737074	-1.105882	      Tmin	     TSEOS	 TIP4P2005
-29.254214	-1.100000	      Tmin	     TSEOS	 TIP4P2005
-29.746405	-1.094118	      Tmin	     TSEOS	 TIP4P2005
-30.216326	-1.088235	      Tmin	     TSEOS	 TIP4P2005
-30.666191	-1.082353	      Tmin	     TSEOS	 TIP4P2005
-31.097858	-1.076471	      Tmin	     TSEOS	 TIP4P2005
-31.512892	-1.070588	      Tmin	     TSEOS	 TIP4P2005
-31.912657	-1.064706	      Tmin	     TSEOS	 TIP4P2005
-32.298308	-1.058824	      Tmin	     TSEOS	 TIP4P2005
-32.670864	-1.052941	      Tmin	     TSEOS	 TIP4P2005
-33.031228	-1.047059	      Tmin	     TSEOS	 TIP4P2005
-33.380174	-1.041176	      Tmin	     TSEOS	 TIP4P2005
-33.718414	-1.035294	      Tmin	     TSEOS	 TIP4P2005
-34.046562	-1.029412	      Tmin	     TSEOS	 TIP4P2005
-34.365185	-1.023529	      Tmin	     TSEOS	 TIP4P2005
-34.674788	-1.017647	      Tmin	     TSEOS	 TIP4P2005
-34.975830	-1.011765	      Tmin	     TSEOS	 TIP4P2005
-35.268726	-1.005882	      Tmin	     TSEOS	 TIP4P2005
-35.553853	-1.000000	      Tmin	     TSEOS	 TIP4P2005
-35.831562	-0.994118	      Tmin	     TSEOS	 TIP4P2005
-36.102168	-0.988235	      Tmin	     TSEOS	 TIP4P2005
-36.365965	-0.982353	      Tmin	     TSEOS	 TIP4P2005
