Temperature	Pressure	Property	Source	Model
0.187933	0.279342	     Ktmin	     TSEOS	 TIP4P2005
0.213570	0.274231	     Ktmin	     TSEOS	 TIP4P2005
0.224631	0.272812	     Ktmin	     TSEOS	 TIP4P2005
0.254106	0.267460	     Ktmin	     TSEOS	 TIP4P2005
0.263369	0.267499	     Ktmin	     TSEOS	 TIP4P2005
0.272334	0.267611	     Ktmin	     TSEOS	 TIP4P2005
0.281030	0.267789	     Ktmin	     TSEOS	 TIP4P2005
0.289482	0.268028	     Ktmin	     TSEOS	 TIP4P2005
0.297713	0.268320	     Ktmin	     TSEOS	 TIP4P2005
0.305744	0.268661	     Ktmin	     TSEOS	 TIP4P2005
0.313593	0.269047	     Ktmin	     TSEOS	 TIP4P2005
0.321276	0.269474	     Ktmin	     TSEOS	 TIP4P2005
0.328805	0.269939	     Ktmin	     TSEOS	 TIP4P2005
0.336196	0.270437	     Ktmin	     TSEOS	 TIP4P2005
0.343458	0.270968	     Ktmin	     TSEOS	 TIP4P2005
0.350601	0.271527	     Ktmin	     TSEOS	 TIP4P2005
0.357636	0.272114	     Ktmin	     TSEOS	 TIP4P2005
0.364571	0.272726	     Ktmin	     TSEOS	 TIP4P2005
0.371413	0.273361	     Ktmin	     TSEOS	 TIP4P2005
0.378167	0.274018	     Ktmin	     TSEOS	 TIP4P2005
0.384820	0.274699	     Ktmin	     TSEOS	 TIP4P2005
0.391374	0.275404	     Ktmin	     TSEOS	 TIP4P2005
0.397838	0.276131	     Ktmin	     TSEOS	 TIP4P2005
0.404221	0.276877	     Ktmin	     TSEOS	 TIP4P2005
0.410528	0.277642	     Ktmin	     TSEOS	 TIP4P2005
0.416767	0.278424	     Ktmin	     TSEOS	 TIP4P2005
0.422942	0.279221	     Ktmin	     TSEOS	 TIP4P2005
0.429059	0.280034	     Ktmin	     TSEOS	 TIP4P2005
0.435122	0.280860	     Ktmin	     TSEOS	 TIP4P2005
0.441135	0.281698	     Ktmin	     TSEOS	 TIP4P2005
0.447101	0.282549	     Ktmin	     TSEOS	 TIP4P2005
0.453023	0.283412	     Ktmin	     TSEOS	 TIP4P2005
0.458904	0.284285	     Ktmin	     TSEOS	 TIP4P2005
0.464747	0.285169	     Ktmin	     TSEOS	 TIP4P2005
0.470554	0.286062	     Ktmin	     TSEOS	 TIP4P2005
0.476327	0.286965	     Ktmin	     TSEOS	 TIP4P2005
0.482068	0.287876	     Ktmin	     TSEOS	 TIP4P2005
0.487778	0.288796	     Ktmin	     TSEOS	 TIP4P2005
0.493459	0.289725	     Ktmin	     TSEOS	 TIP4P2005
0.499113	0.290661	     Ktmin	     TSEOS	 TIP4P2005
0.504741	0.291604	     Ktmin	     TSEOS	 TIP4P2005
0.510344	0.292555	     Ktmin	     TSEOS	 TIP4P2005
0.515924	0.293513	     Ktmin	     TSEOS	 TIP4P2005
0.521480	0.294477	     Ktmin	     TSEOS	 TIP4P2005
0.527015	0.295448	     Ktmin	     TSEOS	 TIP4P2005
0.532529	0.296426	     Ktmin	     TSEOS	 TIP4P2005
0.538022	0.297410	     Ktmin	     TSEOS	 TIP4P2005
0.543496	0.298399	     Ktmin	     TSEOS	 TIP4P2005
0.548951	0.299395	     Ktmin	     TSEOS	 TIP4P2005
0.554388	0.300396	     Ktmin	     TSEOS	 TIP4P2005
0.559807	0.301403	     Ktmin	     TSEOS	 TIP4P2005
0.565208	0.302415	     Ktmin	     TSEOS	 TIP4P2005
0.570593	0.303433	     Ktmin	     TSEOS	 TIP4P2005
0.575962	0.304456	     Ktmin	     TSEOS	 TIP4P2005
0.581314	0.305484	     Ktmin	     TSEOS	 TIP4P2005
0.586651	0.306517	     Ktmin	     TSEOS	 TIP4P2005
0.591973	0.307556	     Ktmin	     TSEOS	 TIP4P2005
0.597280	0.308599	     Ktmin	     TSEOS	 TIP4P2005
0.602571	0.309646	     Ktmin	     TSEOS	 TIP4P2005
0.607848	0.310699	     Ktmin	     TSEOS	 TIP4P2005
0.613111	0.311756	     Ktmin	     TSEOS	 TIP4P2005
0.618360	0.312818	     Ktmin	     TSEOS	 TIP4P2005
0.623595	0.313885	     Ktmin	     TSEOS	 TIP4P2005
0.628815	0.314956	     Ktmin	     TSEOS	 TIP4P2005
0.634022	0.316031	     Ktmin	     TSEOS	 TIP4P2005
0.639216	0.317111	     Ktmin	     TSEOS	 TIP4P2005
0.644395	0.318195	     Ktmin	     TSEOS	 TIP4P2005
0.649562	0.319284	     Ktmin	     TSEOS	 TIP4P2005
0.654715	0.320377	     Ktmin	     TSEOS	 TIP4P2005
0.659854	0.321474	     Ktmin	     TSEOS	 TIP4P2005
0.664980	0.322575	     Ktmin	     TSEOS	 TIP4P2005
0.670093	0.323681	     Ktmin	     TSEOS	 TIP4P2005
0.675192	0.324791	     Ktmin	     TSEOS	 TIP4P2005
0.680278	0.325905	     Ktmin	     TSEOS	 TIP4P2005
0.685351	0.327023	     Ktmin	     TSEOS	 TIP4P2005
0.690410	0.328145	     Ktmin	     TSEOS	 TIP4P2005
0.695456	0.329271	     Ktmin	     TSEOS	 TIP4P2005
0.700488	0.330402	     Ktmin	     TSEOS	 TIP4P2005
0.705507	0.331536	     Ktmin	     TSEOS	 TIP4P2005
0.710512	0.332675	     Ktmin	     TSEOS	 TIP4P2005
0.715504	0.333817	     Ktmin	     TSEOS	 TIP4P2005
0.720482	0.334963	     Ktmin	     TSEOS	 TIP4P2005
0.725446	0.336114	     Ktmin	     TSEOS	 TIP4P2005
0.730397	0.337268	     Ktmin	     TSEOS	 TIP4P2005
0.735334	0.338427	     Ktmin	     TSEOS	 TIP4P2005
0.740256	0.339589	     Ktmin	     TSEOS	 TIP4P2005
0.745165	0.340755	     Ktmin	     TSEOS	 TIP4P2005
0.750060	0.341926	     Ktmin	     TSEOS	 TIP4P2005
0.754940	0.343100	     Ktmin	     TSEOS	 TIP4P2005
0.759806	0.344278	     Ktmin	     TSEOS	 TIP4P2005
0.764658	0.345459	     Ktmin	     TSEOS	 TIP4P2005
0.769495	0.346645	     Ktmin	     TSEOS	 TIP4P2005
0.774318	0.347835	     Ktmin	     TSEOS	 TIP4P2005
0.779126	0.349028	     Ktmin	     TSEOS	 TIP4P2005
0.783919	0.350226	     Ktmin	     TSEOS	 TIP4P2005
0.788697	0.351427	     Ktmin	     TSEOS	 TIP4P2005
0.793461	0.352632	     Ktmin	     TSEOS	 TIP4P2005
0.798209	0.353840	     Ktmin	     TSEOS	 TIP4P2005
0.802943	0.355053	     Ktmin	     TSEOS	 TIP4P2005
0.807661	0.356269	     Ktmin	     TSEOS	 TIP4P2005
