Temperature	Pressure	Property	Source Model
-0.000275	753.903335	       LLT	     TSEOS TIP4P2005
-0.000250	748.477794	       LLT	     TSEOS TIP4P2005
-0.000226	743.040768	       LLT	     TSEOS TIP4P2005
-0.000204	737.592342	       LLT	     TSEOS TIP4P2005
-0.000182	732.132598	       LLT	     TSEOS TIP4P2005
-0.000162	726.661616	       LLT	     TSEOS TIP4P2005
-0.000144	721.179472	       LLT	     TSEOS TIP4P2005
-0.000126	715.686241	       LLT	     TSEOS TIP4P2005
-0.000110	710.181993	       LLT	     TSEOS TIP4P2005
-0.000094	704.666798	       LLT	     TSEOS TIP4P2005
-0.000080	699.140723	       LLT	     TSEOS TIP4P2005
-0.000067	693.603830	       LLT	     TSEOS TIP4P2005
-0.000056	688.056183	       LLT	     TSEOS TIP4P2005
-0.000045	682.497839	       LLT	     TSEOS TIP4P2005
-0.000036	676.928855	       LLT	     TSEOS TIP4P2005
-0.000027	671.349286	       LLT	     TSEOS TIP4P2005
-0.000020	665.759185	       LLT	     TSEOS TIP4P2005
-0.000014	660.158599	       LLT	     TSEOS TIP4P2005
-0.000009	654.547578	       LLT	     TSEOS TIP4P2005
-0.000005	648.926165	       LLT	     TSEOS TIP4P2005
-0.000002	643.294405	       LLT	     TSEOS TIP4P2005
-0.000001	637.652337	       LLT	     TSEOS TIP4P2005
-45.375147	57.266830	  Spinodal	    Madrid TIP4P2005
-31.071299	64.903465	  Spinodal	    Madrid TIP4P2005
-16.239492	73.271865	  Spinodal	    Madrid TIP4P2005
8.547514	69.279196	  Spinodal	    Madrid TIP4P2005
26.533350	60.529914	  Spinodal	    Madrid TIP4P2005
52.598401	51.584191	  Spinodal	    Madrid TIP4P2005
-133.479472	112.380800	  Spinodal	      Evan TIP4P2005
-124.774343	121.978980	  Spinodal	      Evan TIP4P2005
-122.797396	89.695510	  Spinodal	      Evan TIP4P2005
-118.502418	72.207480	  Spinodal	      Evan TIP4P2005
-113.721781	58.119820	  Spinodal	      Evan TIP4P2005
-107.737412	51.997430	  Spinodal	      Evan TIP4P2005
-102.966664	38.504050	  Spinodal	      Evan TIP4P2005
-97.370157	30.557220	  Spinodal	      Evan TIP4P2005
-93.033430	14.971100	  Spinodal	      Evan TIP4P2005
-87.096825	9.820180	  Spinodal	      Evan TIP4P2005
-80.789018	7.279780	  Spinodal	      Evan TIP4P2005
-74.769107	3.211470	  Spinodal	      Evan TIP4P2005
-67.689253	5.940410	  Spinodal	      Evan TIP4P2005
-61.092855	5.901460	  Spinodal	      Evan TIP4P2005
-54.012657	8.992500	  Spinodal	      Evan TIP4P2005
