reduced_temperature	pressure
0.06976744186046512	-342.2509892553571
0.09302325581395349	-325.39280647822306
0.11627906976744186	-309.40756687265457
0.13953488372093023	-294.8314125507204
0.16279069767441862	-282.4366461141035
0.18604651162790697	-267.2405286893809
0.20930232558139536	-254.30261134955254
0.23255813953488372	-242.338296676322
0.2558139534883721	-230.13377992810456
0.27906976744186046	-221.0245713978493
0.3023255813953488	-208.52849322349903
0.32558139534883723	-197.06514120990232
0.3488372093023256	-189.64440312945044
0.37209302325581395	-180.53994178695484
0.3953488372093023	-172.43437753231137
0.4186046511627907	-162.60615228744155
0.4418604651162791	-158.27796422326446
0.46511627906976744	-147.93371750308052
0.4883720930232558	-141.17853392783763
0.5116279069767442	-134.92473676149075
0.5348837209302325	-126.78236240472143
