Temperature	Pressure	Property	Source
37.509260	115.462147	      Tmax	     Poole
34.565035	102.013582	      Tmax	     Poole
31.582816	89.849934	      Tmax	     Poole
28.317608	79.215773	      Tmax	     Poole
24.563421	69.090148	      Tmax	     Poole
21.016245	60.066015	      Tmax	     Poole
17.639092	53.456915	      Tmax	     Poole
14.261959	46.914295	      Tmax	     Poole
11.054850	42.824353	      Tmax	     Poole
7.848740	38.819749	      Tmax	     Poole
4.396630	35.208004	      Tmax	     Poole
1.152592	32.757322	      Tmax	     Poole
-1.676483	32.519556	      Tmax	     Poole
-5.203648	32.026584	      Tmax	     Poole
-8.277722	32.389351	      Tmax	     Poole
-11.841600	33.634367	      Tmax	     Poole
-15.235690	37.567270	      Tmax	     Poole
-18.384781	41.318944	      Tmax	     Poole
-21.042674	44.417873	      Tmax	     Poole
-22.795781	48.886143	     Ktmin	     Poole
-25.246781	53.279375	     Ktmin	     Poole
-27.452781	57.348586	     Ktmin	     Poole
-29.205690	62.108523	     Ktmin	     Poole
-30.543616	69.057601	     Ktmin	     Poole
-32.126541	76.583622	     Ktmin	     Poole
-33.672557	82.664527	     Ktmin	     Poole
-34.764483	89.367892	     Ktmin	     Poole
-35.197424	97.721514	     Ktmin	     Poole
-36.327358	106.129418	     Ktmin	     Poole
-37.004260	115.133074	     Ktmin	     Poole
-37.229150	124.706303	     Ktmin	     Poole
-37.699041	134.884534	     Ktmin	     Poole
79.912541	174.195390	     Ktmin	     Poole
76.987420	167.312105	     Ktmin	     Poole
73.611287	159.518016	     Ktmin	     Poole
70.649177	153.895430	     Ktmin	     Poole
67.480056	147.286547	     Ktmin	     Poole
64.027946	142.043966	     Ktmin	     Poole
60.575837	136.910847	     Ktmin	     Poole
57.331739	132.939180	     Ktmin	     Poole
54.087661	129.076976	     Ktmin	     Poole
51.051575	126.375927	     Ktmin	     Poole
47.562496	122.918764	     Ktmin	     Poole
44.280420	120.649118	     Ktmin	     Poole
40.791330	117.461829	     Ktmin	     Poole
36.113225	114.279393	     Ktmin	     Poole
33.775170	112.786401	     Ktmin	     Poole
30.041090	110.273966	     Ktmin	     Poole
26.722035	110.028893	     Ktmin	     Poole
23.194949	108.895432	     Ktmin	     Poole
19.837925	110.331624	     Ktmin	     Poole
17.632925	113.112163	     Ktmin	     Poole
