Temperature	Pressure	Property	Source	Model
-0.087976	0.614435	      Tmax	     TSEOS	 TIP4P2005
-0.064431	0.585094	      Tmax	     TSEOS	 TIP4P2005
-0.050694	0.573314	      Tmax	     TSEOS	 TIP4P2005
-0.043459	0.568865	      Tmax	     TSEOS	 TIP4P2005
-0.037211	0.566138	      Tmax	     TSEOS	 TIP4P2005
-0.031618	0.564555	      Tmax	     TSEOS	 TIP4P2005
-0.026502	0.563803	      Tmax	     TSEOS	 TIP4P2005
-0.021755	0.563690	      Tmax	     TSEOS	 TIP4P2005
-0.017303	0.564088	      Tmax	     TSEOS	 TIP4P2005
-0.013094	0.564908	      Tmax	     TSEOS	 TIP4P2005
-0.009092	0.566082	      Tmax	     TSEOS	 TIP4P2005
-0.005266	0.567561	      Tmax	     TSEOS	 TIP4P2005
-0.001595	0.569305	      Tmax	     TSEOS	 TIP4P2005
0.001940	0.571283	      Tmax	     TSEOS	 TIP4P2005
0.005353	0.573469	      Tmax	     TSEOS	 TIP4P2005
0.008657	0.575841	      Tmax	     TSEOS	 TIP4P2005
0.011862	0.578382	      Tmax	     TSEOS	 TIP4P2005
0.014977	0.581076	      Tmax	     TSEOS	 TIP4P2005
0.018009	0.583912	      Tmax	     TSEOS	 TIP4P2005
0.020964	0.586876	      Tmax	     TSEOS	 TIP4P2005
0.023848	0.589961	      Tmax	     TSEOS	 TIP4P2005
0.026667	0.593157	      Tmax	     TSEOS	 TIP4P2005
0.029424	0.596456	      Tmax	     TSEOS	 TIP4P2005
0.032123	0.599852	      Tmax	     TSEOS	 TIP4P2005
0.034768	0.603339	      Tmax	     TSEOS	 TIP4P2005
0.037362	0.606912	      Tmax	     TSEOS	 TIP4P2005
0.039908	0.610565	      Tmax	     TSEOS	 TIP4P2005
0.042408	0.614294	      Tmax	     TSEOS	 TIP4P2005
0.044865	0.618096	      Tmax	     TSEOS	 TIP4P2005
0.047280	0.621966	      Tmax	     TSEOS	 TIP4P2005
0.049656	0.625901	      Tmax	     TSEOS	 TIP4P2005
0.051995	0.629899	      Tmax	     TSEOS	 TIP4P2005
0.054298	0.633955	      Tmax	     TSEOS	 TIP4P2005
0.056566	0.638069	      Tmax	     TSEOS	 TIP4P2005
0.058802	0.642237	      Tmax	     TSEOS	 TIP4P2005
0.061005	0.646457	      Tmax	     TSEOS	 TIP4P2005
0.063179	0.650727	      Tmax	     TSEOS	 TIP4P2005
0.065323	0.655045	      Tmax	     TSEOS	 TIP4P2005
0.067439	0.659409	      Tmax	     TSEOS	 TIP4P2005
0.069527	0.663819	      Tmax	     TSEOS	 TIP4P2005
0.071589	0.668271	      Tmax	     TSEOS	 TIP4P2005
0.073626	0.672764	      Tmax	     TSEOS	 TIP4P2005
0.075638	0.677298	      Tmax	     TSEOS	 TIP4P2005
0.077626	0.681871	      Tmax	     TSEOS	 TIP4P2005
0.079591	0.686481	      Tmax	     TSEOS	 TIP4P2005
0.081534	0.691128	      Tmax	     TSEOS	 TIP4P2005
0.083455	0.695810	      Tmax	     TSEOS	 TIP4P2005
0.085355	0.700527	      Tmax	     TSEOS	 TIP4P2005
0.087234	0.705276	      Tmax	     TSEOS	 TIP4P2005
0.089093	0.710059	      Tmax	     TSEOS	 TIP4P2005
0.090932	0.714872	      Tmax	     TSEOS	 TIP4P2005
0.092752	0.719717	      Tmax	     TSEOS	 TIP4P2005
0.094554	0.724591	      Tmax	     TSEOS	 TIP4P2005
0.096338	0.729495	      Tmax	     TSEOS	 TIP4P2005
0.098105	0.734427	      Tmax	     TSEOS	 TIP4P2005
0.099854	0.739386	      Tmax	     TSEOS	 TIP4P2005
0.101586	0.744373	      Tmax	     TSEOS	 TIP4P2005
0.103301	0.749386	      Tmax	     TSEOS	 TIP4P2005
0.105001	0.754425	      Tmax	     TSEOS	 TIP4P2005
0.106685	0.759489	      Tmax	     TSEOS	 TIP4P2005
0.108354	0.764577	      Tmax	     TSEOS	 TIP4P2005
0.110007	0.769690	      Tmax	     TSEOS	 TIP4P2005
0.111646	0.774827	      Tmax	     TSEOS	 TIP4P2005
0.113270	0.779987	      Tmax	     TSEOS	 TIP4P2005
0.114881	0.785169	      Tmax	     TSEOS	 TIP4P2005
0.116477	0.790373	      Tmax	     TSEOS	 TIP4P2005
0.118060	0.795600	      Tmax	     TSEOS	 TIP4P2005
0.119629	0.800848	      Tmax	     TSEOS	 TIP4P2005
0.121185	0.806116	      Tmax	     TSEOS	 TIP4P2005
0.122729	0.811406	      Tmax	     TSEOS	 TIP4P2005
0.124259	0.816715	      Tmax	     TSEOS	 TIP4P2005
0.125778	0.822044	      Tmax	     TSEOS	 TIP4P2005
0.127284	0.827393	      Tmax	     TSEOS	 TIP4P2005
0.128778	0.832761	      Tmax	     TSEOS	 TIP4P2005
0.130261	0.838148	      Tmax	     TSEOS	 TIP4P2005
0.131732	0.843554	      Tmax	     TSEOS	 TIP4P2005
0.133191	0.848978	      Tmax	     TSEOS	 TIP4P2005
0.134639	0.854419	      Tmax	     TSEOS	 TIP4P2005
0.136077	0.859879	      Tmax	     TSEOS	 TIP4P2005
0.137503	0.865356	      Tmax	     TSEOS	 TIP4P2005
0.138919	0.870850	      Tmax	     TSEOS	 TIP4P2005
0.140324	0.876360	      Tmax	     TSEOS	 TIP4P2005
0.141719	0.881888	      Tmax	     TSEOS	 TIP4P2005
0.143104	0.887432	      Tmax	     TSEOS	 TIP4P2005
0.144478	0.892992	      Tmax	     TSEOS	 TIP4P2005
0.145843	0.898568	      Tmax	     TSEOS	 TIP4P2005
0.147198	0.904160	      Tmax	     TSEOS	 TIP4P2005
0.148543	0.909767	      Tmax	     TSEOS	 TIP4P2005
0.149879	0.915390	      Tmax	     TSEOS	 TIP4P2005
0.151206	0.921028	      Tmax	     TSEOS	 TIP4P2005
0.152523	0.926681	      Tmax	     TSEOS	 TIP4P2005
0.153831	0.932348	      Tmax	     TSEOS	 TIP4P2005
0.155131	0.938030	      Tmax	     TSEOS	 TIP4P2005
0.156421	0.943727	      Tmax	     TSEOS	 TIP4P2005
0.157703	0.949438	      Tmax	     TSEOS	 TIP4P2005
0.158976	0.955163	      Tmax	     TSEOS	 TIP4P2005
0.160240	0.960902	      Tmax	     TSEOS	 TIP4P2005
0.161497	0.966654	      Tmax	     TSEOS	 TIP4P2005
0.162744	0.972420	      Tmax	     TSEOS	 TIP4P2005
0.163984	0.978200	      Tmax	     TSEOS	 TIP4P2005
0.165216	0.983993	      Tmax	     TSEOS	 TIP4P2005
0.166439	0.989799	      Tmax	     TSEOS	 TIP4P2005
0.167655	0.995618	      Tmax	     TSEOS	 TIP4P2005
0.168863	1.001451	      Tmax	     TSEOS	 TIP4P2005
0.170063	1.007296	      Tmax	     TSEOS	 TIP4P2005
0.171255	1.013153	      Tmax	     TSEOS	 TIP4P2005
0.172440	1.019023	      Tmax	     TSEOS	 TIP4P2005
0.173618	1.024906	      Tmax	     TSEOS	 TIP4P2005
0.174788	1.030801	      Tmax	     TSEOS	 TIP4P2005
0.175951	1.036708	      Tmax	     TSEOS	 TIP4P2005
0.177107	1.042627	      Tmax	     TSEOS	 TIP4P2005
0.178255	1.048559	      Tmax	     TSEOS	 TIP4P2005
0.179397	1.054502	      Tmax	     TSEOS	 TIP4P2005
0.180531	1.060457	      Tmax	     TSEOS	 TIP4P2005
0.181659	1.066424	      Tmax	     TSEOS	 TIP4P2005
0.182779	1.072402	      Tmax	     TSEOS	 TIP4P2005
0.183893	1.078392	      Tmax	     TSEOS	 TIP4P2005
0.185001	1.084393	      Tmax	     TSEOS	 TIP4P2005
0.186101	1.090406	      Tmax	     TSEOS	 TIP4P2005
0.187196	1.096430	      Tmax	     TSEOS	 TIP4P2005
0.188283	1.102465	      Tmax	     TSEOS	 TIP4P2005
0.189364	1.108511	      Tmax	     TSEOS	 TIP4P2005
0.190439	1.114568	      Tmax	     TSEOS	 TIP4P2005
0.191508	1.120637	      Tmax	     TSEOS	 TIP4P2005
0.192570	1.126716	      Tmax	     TSEOS	 TIP4P2005
0.193626	1.132806	      Tmax	     TSEOS	 TIP4P2005
0.194676	1.138907	      Tmax	     TSEOS	 TIP4P2005
0.195720	1.145018	      Tmax	     TSEOS	 TIP4P2005
0.196758	1.151140	      Tmax	     TSEOS	 TIP4P2005
