reduced_temperature	Afactor
0.06976744186046512	4.638816911250088e-06
0.09302325581395349	4.044417390554132e-06
0.11627906976744186	4.696996830946387e-06
0.13953488372093023	5.004557703728896e-06
0.16279069767441862	5.576401768261179e-06
0.18604651162790697	6.0758868771205695e-06
0.20930232558139536	6.665307469415133e-06
0.23255813953488372	7.330223748346855e-06
0.2558139534883721	7.835595402342955e-06
0.27906976744186046	8.50436671657898e-06
0.3023255813953488	8.811659760146813e-06
0.32558139534883723	9.035509378318694e-06
0.3488372093023256	9.54353997989751e-06
0.37209302325581395	9.716000216515728e-06
0.3953488372093023	9.926160411539591e-06
0.4186046511627907	9.869283059080484e-06
0.4418604651162791	1.0493953627716337e-05
0.46511627906976744	1.0150802917574864e-05
0.4883720930232558	1.0403248610695456e-05
0.5116279069767442	1.0531821158708579e-05
0.5348837209302325	1.0342334792087972e-05
