Temperature	Pressure	Property	Source	Model
0.000000	3.333333	       LLT	    LGRxn1	LatticeGasRx
0.300000	0.333333	      LLCP	    LGRxn1	LatticeGasRx
0.485972	-1.766452	       KtM	    LGRxn1	LatticeGasRx
0.487776	-1.770600	       KtM	    LGRxn1	LatticeGasRx
0.489579	-1.773599	       KtM	    LGRxn1	LatticeGasRx
0.491383	-1.775427	       KtM	    LGRxn1	LatticeGasRx
0.493186	-1.776063	       KtM	    LGRxn1	LatticeGasRx
0.494990	-1.775491	       KtM	    LGRxn1	LatticeGasRx
0.496794	-1.773710	       KtM	    LGRxn1	LatticeGasRx
0.498597	-1.770727	       KtM	    LGRxn1	LatticeGasRx
0.500401	-1.766568	       KtM	    LGRxn1	LatticeGasRx
0.502121	-1.761523	       KtM	    LGRxn1	LatticeGasRx
0.502204	-1.761263	       KtM	    LGRxn1	LatticeGasRx
0.504008	-1.754456	       KtM	    LGRxn1	LatticeGasRx
0.505812	-1.746538	       KtM	    LGRxn1	LatticeGasRx
0.507615	-1.737610	       KtM	    LGRxn1	LatticeGasRx
0.508370	-1.733467	       KtM	    LGRxn1	LatticeGasRx
0.509419	-1.727324	       KtM	    LGRxn1	LatticeGasRx
0.511222	-1.715822	       KtM	    LGRxn1	LatticeGasRx
0.512754	-1.705411	       KtM	    LGRxn1	LatticeGasRx
0.513026	-1.703435	       KtM	    LGRxn1	LatticeGasRx
0.514830	-1.689452	       KtM	    LGRxn1	LatticeGasRx
0.516333	-1.677355	       KtM	    LGRxn1	LatticeGasRx
0.516633	-1.674762	       KtM	    LGRxn1	LatticeGasRx
0.518437	-1.658527	       KtM	    LGRxn1	LatticeGasRx
0.519439	-1.649299	       KtM	    LGRxn1	LatticeGasRx
0.520240	-1.641382	       KtM	    LGRxn1	LatticeGasRx
0.522044	-1.623268	       KtM	    LGRxn1	LatticeGasRx
0.522242	-1.621242	       KtM	    LGRxn1	LatticeGasRx
0.523848	-1.603608	       KtM	    LGRxn1	LatticeGasRx
0.524794	-1.593186	       KtM	    LGRxn1	LatticeGasRx
0.525651	-1.583086	       KtM	    LGRxn1	LatticeGasRx
0.527177	-1.565130	       KtM	    LGRxn1	LatticeGasRx
0.527455	-1.561629	       KtM	    LGRxn1	LatticeGasRx
0.529259	-1.538945	       KtM	    LGRxn1	LatticeGasRx
0.529408	-1.537074	       KtM	    LGRxn1	LatticeGasRx
0.531062	-1.514921	       KtM	    LGRxn1	LatticeGasRx
0.531509	-1.509018	       KtM	    LGRxn1	LatticeGasRx
0.532866	-1.489866	       KtM	    LGRxn1	LatticeGasRx
0.533507	-1.480962	       KtM	    LGRxn1	LatticeGasRx
0.534669	-1.463739	       KtM	    LGRxn1	LatticeGasRx
0.535414	-1.452906	       KtM	    LGRxn1	LatticeGasRx
0.536473	-1.436502	       KtM	    LGRxn1	LatticeGasRx
0.537241	-1.424850	       KtM	    LGRxn1	LatticeGasRx
0.538277	-1.408134	       KtM	    LGRxn1	LatticeGasRx
0.538995	-1.396794	       KtM	    LGRxn1	LatticeGasRx
0.540080	-1.378622	       KtM	    LGRxn1	LatticeGasRx
0.540685	-1.368737	       KtM	    LGRxn1	LatticeGasRx
0.541884	-1.347967	       KtM	    LGRxn1	LatticeGasRx
0.542315	-1.340681	       KtM	    LGRxn1	LatticeGasRx
0.543687	-1.316181	       KtM	    LGRxn1	LatticeGasRx
0.543892	-1.312625	       KtM	    LGRxn1	LatticeGasRx
0.545418	-1.284569	       KtM	    LGRxn1	LatticeGasRx
0.545491	-1.283134	       KtM	    LGRxn1	LatticeGasRx
0.546892	-1.256513	       KtM	    LGRxn1	LatticeGasRx
0.547295	-1.248453	       KtM	    LGRxn1	LatticeGasRx
0.548324	-1.228457	       KtM	    LGRxn1	LatticeGasRx
0.549098	-1.212635	       KtM	    LGRxn1	LatticeGasRx
0.549716	-1.200401	       KtM	    LGRxn1	LatticeGasRx
0.550902	-1.175746	       KtM	    LGRxn1	LatticeGasRx
0.551071	-1.172345	       KtM	    LGRxn1	LatticeGasRx
0.552385	-1.144289	       KtM	    LGRxn1	LatticeGasRx
0.552705	-1.137084	       KtM	    LGRxn1	LatticeGasRx
0.553663	-1.116232	       KtM	    LGRxn1	LatticeGasRx
0.554509	-1.097004	       KtM	    LGRxn1	LatticeGasRx
0.554910	-1.088176	       KtM	    LGRxn1	LatticeGasRx
0.556125	-1.060120	       KtM	    LGRxn1	LatticeGasRx
0.556313	-1.055534	       KtM	    LGRxn1	LatticeGasRx
0.557305	-1.032064	       KtM	    LGRxn1	LatticeGasRx
0.558116	-1.012137	       KtM	    LGRxn1	LatticeGasRx
0.558458	-1.004008	       KtM	    LGRxn1	LatticeGasRx
0.559582	-0.975952	       KtM	    LGRxn1	LatticeGasRx
0.559920	-0.967069	       KtM	    LGRxn1	LatticeGasRx
0.560675	-0.947896	       KtM	    LGRxn1	LatticeGasRx
0.561723	-0.920392	       KtM	    LGRxn1	LatticeGasRx
0.561745	-0.919840	       KtM	    LGRxn1	LatticeGasRx
0.562783	-0.891784	       KtM	    LGRxn1	LatticeGasRx
0.563527	-0.871058	       KtM	    LGRxn1	LatticeGasRx
0.563799	-0.863727	       KtM	    LGRxn1	LatticeGasRx
0.564788	-0.835671	       KtM	    LGRxn1	LatticeGasRx
0.565331	-0.819646	       KtM	    LGRxn1	LatticeGasRx
0.565752	-0.807615	       KtM	    LGRxn1	LatticeGasRx
0.566693	-0.779559	       KtM	    LGRxn1	LatticeGasRx
0.567134	-0.765791	       KtM	    LGRxn1	LatticeGasRx
0.567609	-0.751503	       KtM	    LGRxn1	LatticeGasRx
0.568502	-0.723447	       KtM	    LGRxn1	LatticeGasRx
0.568938	-0.709129	       KtM	    LGRxn1	LatticeGasRx
0.569371	-0.695391	       KtM	    LGRxn1	LatticeGasRx
0.570218	-0.667335	       KtM	    LGRxn1	LatticeGasRx
0.570741	-0.649305	       KtM	    LGRxn1	LatticeGasRx
0.571043	-0.639279	       KtM	    LGRxn1	LatticeGasRx
0.571844	-0.611222	       KtM	    LGRxn1	LatticeGasRx
