Temperature	Pressure	Property	Source	Model
0.300000	3.333333	       LLT	    LGRxn3	LatticeGasRx
0.296970	3.636364	       LLT	    LGRxn3	LatticeGasRx
0.293939	3.939394	       LLT	    LGRxn3	LatticeGasRx
0.290909	4.242424	       LLT	    LGRxn3	LatticeGasRx
0.287879	4.545455	       LLT	    LGRxn3	LatticeGasRx
0.284848	4.848485	       LLT	    LGRxn3	LatticeGasRx
0.281818	5.151515	       LLT	    LGRxn3	LatticeGasRx
0.278788	5.454545	       LLT	    LGRxn3	LatticeGasRx
0.275758	5.757576	       LLT	    LGRxn3	LatticeGasRx
0.272727	6.060606	       LLT	    LGRxn3	LatticeGasRx
0.269697	6.363636	       LLT	    LGRxn3	LatticeGasRx
0.266667	6.666667	       LLT	    LGRxn3	LatticeGasRx
0.263636	6.969697	       LLT	    LGRxn3	LatticeGasRx
0.260606	7.272727	       LLT	    LGRxn3	LatticeGasRx
0.257576	7.575758	       LLT	    LGRxn3	LatticeGasRx
0.254545	7.878788	       LLT	    LGRxn3	LatticeGasRx
0.251515	8.181818	       LLT	    LGRxn3	LatticeGasRx
0.248485	8.484848	       LLT	    LGRxn3	LatticeGasRx
0.245455	8.787879	       LLT	    LGRxn3	LatticeGasRx
0.242424	9.090909	       LLT	    LGRxn3	LatticeGasRx
0.239394	9.393939	       LLT	    LGRxn3	LatticeGasRx
0.236364	9.696970	       LLT	    LGRxn3	LatticeGasRx
0.233333	10.000000	       LLT	    LGRxn3	LatticeGasRx
0.230303	10.303030	       LLT	    LGRxn3	LatticeGasRx
0.227273	10.606061	       LLT	    LGRxn3	LatticeGasRx
0.224242	10.909091	       LLT	    LGRxn3	LatticeGasRx
0.221212	11.212121	       LLT	    LGRxn3	LatticeGasRx
0.218182	11.515152	       LLT	    LGRxn3	LatticeGasRx
0.215152	11.818182	       LLT	    LGRxn3	LatticeGasRx
0.212121	12.121212	       LLT	    LGRxn3	LatticeGasRx
0.209091	12.424242	       LLT	    LGRxn3	LatticeGasRx
0.206061	12.727273	       LLT	    LGRxn3	LatticeGasRx
