Temperature	Pressure	Property	Source	Model
0.000000	10.000000	       LLT	    LGRxn2	LatticeGasRx
0.300000	1.000000	      LLCP	    LGRxn2	LatticeGasRx
0.404810	-2.244749	       KtM	    LGRxn2	LatticeGasRx
0.406613	-2.255978	       KtM	    LGRxn2	LatticeGasRx
0.408417	-2.262888	       KtM	    LGRxn2	LatticeGasRx
0.410220	-2.265332	       KtM	    LGRxn2	LatticeGasRx
0.412024	-2.263217	       KtM	    LGRxn2	LatticeGasRx
0.413828	-2.256564	       KtM	    LGRxn2	LatticeGasRx
0.415631	-2.245549	       KtM	    LGRxn2	LatticeGasRx
0.416248	-2.240481	       KtM	    LGRxn2	LatticeGasRx
0.417435	-2.228988	       KtM	    LGRxn2	LatticeGasRx
0.419238	-2.207416	       KtM	    LGRxn2	LatticeGasRx
0.421042	-2.182316	       KtM	    LGRxn2	LatticeGasRx
0.421431	-2.176353	       KtM	    LGRxn2	LatticeGasRx
0.422846	-2.150764	       KtM	    LGRxn2	LatticeGasRx
0.424649	-2.115976	       KtM	    LGRxn2	LatticeGasRx
0.424837	-2.112224	       KtM	    LGRxn2	LatticeGasRx
0.426453	-2.074213	       KtM	    LGRxn2	LatticeGasRx
0.427552	-2.048096	       KtM	    LGRxn2	LatticeGasRx
0.428257	-2.028510	       KtM	    LGRxn2	LatticeGasRx
0.429876	-1.983968	       KtM	    LGRxn2	LatticeGasRx
0.430060	-1.978073	       KtM	    LGRxn2	LatticeGasRx
0.431864	-1.921795	       KtM	    LGRxn2	LatticeGasRx
0.431928	-1.919840	       KtM	    LGRxn2	LatticeGasRx
0.433667	-1.859490	       KtM	    LGRxn2	LatticeGasRx
0.433781	-1.855711	       KtM	    LGRxn2	LatticeGasRx
0.435471	-1.791799	       KtM	    LGRxn2	LatticeGasRx
0.435477	-1.791583	       KtM	    LGRxn2	LatticeGasRx
0.437047	-1.727455	       KtM	    LGRxn2	LatticeGasRx
0.437275	-1.716962	       KtM	    LGRxn2	LatticeGasRx
0.438511	-1.663327	       KtM	    LGRxn2	LatticeGasRx
0.439078	-1.635748	       KtM	    LGRxn2	LatticeGasRx
0.439881	-1.599198	       KtM	    LGRxn2	LatticeGasRx
0.440882	-1.548611	       KtM	    LGRxn2	LatticeGasRx
0.441169	-1.535070	       KtM	    LGRxn2	LatticeGasRx
0.442387	-1.470942	       KtM	    LGRxn2	LatticeGasRx
0.442685	-1.453501	       KtM	    LGRxn2	LatticeGasRx
0.443544	-1.406814	       KtM	    LGRxn2	LatticeGasRx
0.444489	-1.350789	       KtM	    LGRxn2	LatticeGasRx
0.444636	-1.342685	       KtM	    LGRxn2	LatticeGasRx
0.445683	-1.278557	       KtM	    LGRxn2	LatticeGasRx
0.446293	-1.238060	       KtM	    LGRxn2	LatticeGasRx
0.446676	-1.214429	       KtM	    LGRxn2	LatticeGasRx
0.447626	-1.150301	       KtM	    LGRxn2	LatticeGasRx
0.448096	-1.115847	       KtM	    LGRxn2	LatticeGasRx
0.448533	-1.086172	       KtM	    LGRxn2	LatticeGasRx
0.449401	-1.022044	       KtM	    LGRxn2	LatticeGasRx
0.449900	-0.982326	       KtM	    LGRxn2	LatticeGasRx
0.450230	-0.957916	       KtM	    LGRxn2	LatticeGasRx
0.451028	-0.893788	       KtM	    LGRxn2	LatticeGasRx
0.451703	-0.836173	       KtM	    LGRxn2	LatticeGasRx
0.451786	-0.829659	       KtM	    LGRxn2	LatticeGasRx
0.452521	-0.765531	       KtM	    LGRxn2	LatticeGasRx
0.453219	-0.701403	       KtM	    LGRxn2	LatticeGasRx
0.453507	-0.672821	       KtM	    LGRxn2	LatticeGasRx
0.453892	-0.637275	       KtM	    LGRxn2	LatticeGasRx
0.454538	-0.573146	       KtM	    LGRxn2	LatticeGasRx
0.455152	-0.509018	       KtM	    LGRxn2	LatticeGasRx
0.455311	-0.491072	       KtM	    LGRxn2	LatticeGasRx
0.455747	-0.444890	       KtM	    LGRxn2	LatticeGasRx
0.456317	-0.380762	       KtM	    LGRxn2	LatticeGasRx
0.456859	-0.316633	       KtM	    LGRxn2	LatticeGasRx
0.457114	-0.284154	       KtM	    LGRxn2	LatticeGasRx
0.457381	-0.252505	       KtM	    LGRxn2	LatticeGasRx
0.457883	-0.188377	       KtM	    LGRxn2	LatticeGasRx
0.458360	-0.124248	       KtM	    LGRxn2	LatticeGasRx
0.458815	-0.060120	       KtM	    LGRxn2	LatticeGasRx
0.458918	-0.044350	       KtM	    LGRxn2	LatticeGasRx
0.459254	0.004008	       KtM	    LGRxn2	LatticeGasRx
0.459674	0.068136	       KtM	    LGRxn2	LatticeGasRx
0.460072	0.132265	       KtM	    LGRxn2	LatticeGasRx
0.460451	0.196393	       KtM	    LGRxn2	LatticeGasRx
0.460721	0.245251	       KtM	    LGRxn2	LatticeGasRx
0.460812	0.260521	       KtM	    LGRxn2	LatticeGasRx
0.461158	0.324649	       KtM	    LGRxn2	LatticeGasRx
0.461486	0.388778	       KtM	    LGRxn2	LatticeGasRx
0.461796	0.452906	       KtM	    LGRxn2	LatticeGasRx
0.462089	0.517034	       KtM	    LGRxn2	LatticeGasRx
0.462365	0.581162	       KtM	    LGRxn2	LatticeGasRx
0.462525	0.621323	       KtM	    LGRxn2	LatticeGasRx
0.462626	0.645291	       KtM	    LGRxn2	LatticeGasRx
0.462874	0.709419	       KtM	    LGRxn2	LatticeGasRx
0.463105	0.773547	       KtM	    LGRxn2	LatticeGasRx
0.463322	0.837675	       KtM	    LGRxn2	LatticeGasRx
0.463523	0.901804	       KtM	    LGRxn2	LatticeGasRx
0.463709	0.965932	       KtM	    LGRxn2	LatticeGasRx
0.463880	1.030060	       KtM	    LGRxn2	LatticeGasRx
0.464038	1.094188	       KtM	    LGRxn2	LatticeGasRx
0.464181	1.158317	       KtM	    LGRxn2	LatticeGasRx
0.464311	1.222445	       KtM	    LGRxn2	LatticeGasRx
0.464329	1.232675	       KtM	    LGRxn2	LatticeGasRx
0.464428	1.286573	       KtM	    LGRxn2	LatticeGasRx
0.464532	1.350701	       KtM	    LGRxn2	LatticeGasRx
0.464623	1.414830	       KtM	    LGRxn2	LatticeGasRx
0.464700	1.478958	       KtM	    LGRxn2	LatticeGasRx
0.464765	1.543086	       KtM	    LGRxn2	LatticeGasRx
0.464816	1.607214	       KtM	    LGRxn2	LatticeGasRx
0.464855	1.671343	       KtM	    LGRxn2	LatticeGasRx
0.464880	1.735471	       KtM	    LGRxn2	LatticeGasRx
0.464893	1.799599	       KtM	    LGRxn2	LatticeGasRx
0.464894	1.863727	       KtM	    LGRxn2	LatticeGasRx
0.464882	1.927856	       KtM	    LGRxn2	LatticeGasRx
0.464857	1.991984	       KtM	    LGRxn2	LatticeGasRx
0.464820	2.056112	       KtM	    LGRxn2	LatticeGasRx
0.464770	2.120240	       KtM	    LGRxn2	LatticeGasRx
0.464708	2.184369	       KtM	    LGRxn2	LatticeGasRx
0.464633	2.248497	       KtM	    LGRxn2	LatticeGasRx
0.464546	2.312625	       KtM	    LGRxn2	LatticeGasRx
0.464446	2.376754	       KtM	    LGRxn2	LatticeGasRx
0.464333	2.440882	       KtM	    LGRxn2	LatticeGasRx
0.464329	2.443182	       KtM	    LGRxn2	LatticeGasRx
0.464208	2.505010	       KtM	    LGRxn2	LatticeGasRx
0.464070	2.569138	       KtM	    LGRxn2	LatticeGasRx
0.463919	2.633267	       KtM	    LGRxn2	LatticeGasRx
0.463755	2.697395	       KtM	    LGRxn2	LatticeGasRx
0.463578	2.761523	       KtM	    LGRxn2	LatticeGasRx
0.463387	2.825651	       KtM	    LGRxn2	LatticeGasRx
0.463182	2.889780	       KtM	    LGRxn2	LatticeGasRx
0.462963	2.953908	       KtM	    LGRxn2	LatticeGasRx
0.462730	3.018036	       KtM	    LGRxn2	LatticeGasRx
0.462525	3.071320	       KtM	    LGRxn2	LatticeGasRx
0.462482	3.082164	       KtM	    LGRxn2	LatticeGasRx
0.462220	3.146293	       KtM	    LGRxn2	LatticeGasRx
0.461943	3.210421	       KtM	    LGRxn2	LatticeGasRx
0.461651	3.274549	       KtM	    LGRxn2	LatticeGasRx
0.461343	3.338677	       KtM	    LGRxn2	LatticeGasRx
0.461018	3.402806	       KtM	    LGRxn2	LatticeGasRx
0.460721	3.458701	       KtM	    LGRxn2	LatticeGasRx
0.460676	3.466934	       KtM	    LGRxn2	LatticeGasRx
0.460318	3.531062	       KtM	    LGRxn2	LatticeGasRx
0.459942	3.595190	       KtM	    LGRxn2	LatticeGasRx
0.459547	3.659319	       KtM	    LGRxn2	LatticeGasRx
0.459133	3.723447	       KtM	    LGRxn2	LatticeGasRx
0.458918	3.755890	       KtM	    LGRxn2	LatticeGasRx
0.458700	3.787575	       KtM	    LGRxn2	LatticeGasRx
0.458246	3.851703	       KtM	    LGRxn2	LatticeGasRx
0.457770	3.915832	       KtM	    LGRxn2	LatticeGasRx
0.457273	3.979960	       KtM	    LGRxn2	LatticeGasRx
0.457114	4.000023	       KtM	    LGRxn2	LatticeGasRx
0.456752	4.044088	       KtM	    LGRxn2	LatticeGasRx
0.456206	4.108216	       KtM	    LGRxn2	LatticeGasRx
0.455636	4.172345	       KtM	    LGRxn2	LatticeGasRx
0.455311	4.207894	       KtM	    LGRxn2	LatticeGasRx
0.455038	4.236473	       KtM	    LGRxn2	LatticeGasRx
0.454412	4.300601	       KtM	    LGRxn2	LatticeGasRx
0.453756	4.364729	       KtM	    LGRxn2	LatticeGasRx
0.453507	4.388608	       KtM	    LGRxn2	LatticeGasRx
0.453068	4.428858	       KtM	    LGRxn2	LatticeGasRx
0.452347	4.492986	       KtM	    LGRxn2	LatticeGasRx
0.451703	4.547908	       KtM	    LGRxn2	LatticeGasRx
0.451591	4.557114	       KtM	    LGRxn2	LatticeGasRx
0.450794	4.621242	       KtM	    LGRxn2	LatticeGasRx
0.449959	4.685371	       KtM	    LGRxn2	LatticeGasRx
0.449900	4.689879	       KtM	    LGRxn2	LatticeGasRx
0.449077	4.749499	       KtM	    LGRxn2	LatticeGasRx
0.448151	4.813627	       KtM	    LGRxn2	LatticeGasRx
0.448096	4.817372	       KtM	    LGRxn2	LatticeGasRx
0.447169	4.877756	       KtM	    LGRxn2	LatticeGasRx
0.446293	4.932560	       KtM	    LGRxn2	LatticeGasRx
0.446136	4.941884	       KtM	    LGRxn2	LatticeGasRx
0.445037	5.006012	       KtM	    LGRxn2	LatticeGasRx
0.444489	5.037082	       KtM	    LGRxn2	LatticeGasRx
0.443873	5.070140	       KtM	    LGRxn2	LatticeGasRx
0.442685	5.131873	       KtM	    LGRxn2	LatticeGasRx
0.442637	5.134269	       KtM	    LGRxn2	LatticeGasRx
0.441313	5.198397	       KtM	    LGRxn2	LatticeGasRx
0.440882	5.218734	       KtM	    LGRxn2	LatticeGasRx
0.439896	5.262525	       KtM	    LGRxn2	LatticeGasRx
0.439078	5.298019	       KtM	    LGRxn2	LatticeGasRx
0.438375	5.326653	       KtM	    LGRxn2	LatticeGasRx
0.437275	5.370555	       KtM	    LGRxn2	LatticeGasRx
0.436733	5.390782	       KtM	    LGRxn2	LatticeGasRx
0.435471	5.437053	       KtM	    LGRxn2	LatticeGasRx
0.434949	5.454910	       KtM	    LGRxn2	LatticeGasRx
0.433667	5.498073	       KtM	    LGRxn2	LatticeGasRx
0.432997	5.519038	       KtM	    LGRxn2	LatticeGasRx
