Temperature	Pressure	Property	Source	Model
0.105411	-3.665050	       CpM	   Unknown	LatticeGasRx
0.107214	-3.650645	       CpM	   Unknown	LatticeGasRx
0.109018	-3.636448	       CpM	   Unknown	LatticeGasRx
0.110822	-3.622445	       CpM	   Unknown	LatticeGasRx
0.112625	-3.608624	       CpM	   Unknown	LatticeGasRx
0.114429	-3.594976	       CpM	   Unknown	LatticeGasRx
0.115433	-3.587174	       CpM	   Unknown	LatticeGasRx
0.116232	-3.580918	       CpM	   Unknown	LatticeGasRx
0.118036	-3.566280	       CpM	   Unknown	LatticeGasRx
0.119840	-3.551857	       CpM	   Unknown	LatticeGasRx
0.121643	-3.537642	       CpM	   Unknown	LatticeGasRx
0.123447	-3.523627	       CpM	   Unknown	LatticeGasRx
0.125251	-3.509804	       CpM	   Unknown	LatticeGasRx
0.125599	-3.507014	       CpM	   Unknown	LatticeGasRx
0.127054	-3.495192	       CpM	   Unknown	LatticeGasRx
0.128858	-3.480568	       CpM	   Unknown	LatticeGasRx
0.130661	-3.466181	       CpM	   Unknown	LatticeGasRx
0.132465	-3.452025	       CpM	   Unknown	LatticeGasRx
0.134269	-3.438095	       CpM	   Unknown	LatticeGasRx
0.135732	-3.426854	       CpM	   Unknown	LatticeGasRx
0.136072	-3.424186	       CpM	   Unknown	LatticeGasRx
0.137876	-3.409611	       CpM	   Unknown	LatticeGasRx
0.139679	-3.395308	       CpM	   Unknown	LatticeGasRx
0.141483	-3.381273	       CpM	   Unknown	LatticeGasRx
0.143287	-3.367502	       CpM	   Unknown	LatticeGasRx
0.145090	-3.353994	       CpM	   Unknown	LatticeGasRx
0.146064	-3.346693	       CpM	   Unknown	LatticeGasRx
0.146894	-3.340304	       CpM	   Unknown	LatticeGasRx
0.148697	-3.326371	       CpM	   Unknown	LatticeGasRx
0.150501	-3.312746	       CpM	   Unknown	LatticeGasRx
0.152305	-3.299428	       CpM	   Unknown	LatticeGasRx
0.154108	-3.286417	       CpM	   Unknown	LatticeGasRx
0.155912	-3.273712	       CpM	   Unknown	LatticeGasRx
0.156940	-3.266533	       CpM	   Unknown	LatticeGasRx
0.157715	-3.260958	       CpM	   Unknown	LatticeGasRx
0.159519	-3.248059	       CpM	   Unknown	LatticeGasRx
0.161323	-3.235512	       CpM	   Unknown	LatticeGasRx
0.163126	-3.223318	       CpM	   Unknown	LatticeGasRx
0.164930	-3.211479	       CpM	   Unknown	LatticeGasRx
0.166733	-3.199996	       CpM	   Unknown	LatticeGasRx
0.168537	-3.188874	       CpM	   Unknown	LatticeGasRx
0.168947	-3.186373	       CpM	   Unknown	LatticeGasRx
0.170341	-3.177596	       CpM	   Unknown	LatticeGasRx
0.172144	-3.166563	       CpM	   Unknown	LatticeGasRx
0.173948	-3.155935	       CpM	   Unknown	LatticeGasRx
0.175752	-3.145715	       CpM	   Unknown	LatticeGasRx
0.177555	-3.135907	       CpM	   Unknown	LatticeGasRx
0.179359	-3.126516	       CpM	   Unknown	LatticeGasRx
