Temperature	Pressure	Property	Source
41.180590	387.822280	      Tmax	     Poole
42.311622	380.270788	      Tmax	     Poole
43.271473	370.301484	      Tmax	     Poole
44.023431	359.390436	      Tmax	     Poole
44.775191	348.586959	      Tmax	     Poole
45.773149	337.528074	      Tmax	     Poole
46.279910	327.305287	      Tmax	     Poole
47.031867	316.828577	      Tmax	     Poole
47.331734	305.736024	      Tmax	     Poole
47.876601	294.411373	      Tmax	     Poole
47.968378	282.449303	      Tmax	     Poole
47.815155	270.869268	      Tmax	     Poole
47.907128	259.068782	      Tmax	     Poole
47.753924	247.629305	      Tmax	     Poole
47.354760	236.524866	      Tmax	     Poole
46.956596	225.467398	      Tmax	     Poole
46.558451	214.458131	      Tmax	     Poole
45.499244	201.638999	      Tmax	     Poole
44.441056	188.852238	      Tmax	     Poole
43.173837	175.047980	      Tmax	     Poole
40.794563	158.574739	      Tmax	     Poole
37.509260	140.462147	      Tmax	     Poole
34.565035	127.013582	      Tmax	     Poole
31.582816	114.849934	      Tmax	     Poole
28.317608	104.215773	      Tmax	     Poole
24.563421	94.090148	      Tmax	     Poole
21.016245	85.066015	      Tmax	     Poole
17.639092	78.456915	      Tmax	     Poole
14.261959	71.914295	      Tmax	     Poole
11.054850	67.824353	      Tmax	     Poole
7.848740	63.819749	      Tmax	     Poole
4.396630	60.208004	      Tmax	     Poole
1.152592	57.757322	      Tmax	     Poole
-1.676483	57.519556	      Tmax	     Poole
-5.203648	57.026584	      Tmax	     Poole
-8.277722	57.389351	      Tmax	     Poole
-11.841600	58.634367	      Tmax	     Poole
-15.235690	62.567270	      Tmax	     Poole
-18.384781	66.318944	      Tmax	     Poole
-21.042674	69.417873	      Tmax	     Poole
-22.795781	73.886143	      Tmin	     Poole
-25.246781	78.279375	      Tmin	     Poole
-27.452781	82.348586	      Tmin	     Poole
-29.205690	87.108523	      Tmin	     Poole
-30.543616	94.057601	      Tmin	     Poole
-32.126541	101.583622	      Tmin	     Poole
-33.672557	107.664527	      Tmin	     Poole
-34.764483	114.367892	      Tmin	     Poole
-35.197424	122.721514	      Tmin	     Poole
-36.327358	131.129418	      Tmin	     Poole
-37.004260	140.133074	      Tmin	     Poole
-37.229150	149.706303	      Tmin	     Poole
-37.699041	159.884534	      Tmin	     Poole
